	acrR_b0464_15	ada_b2213_15	adiY_b4116_14	agaR_b3131_15	aidB_b4187_15	alaS_b2697_14	araC_b0064_15	arcA_b4401_14	argP_b2916_15	argR_b3237_15	atoC_b2220_15	baeR_b2079_15	basR_b4113_14	birA_b3973_15	ycgE_b1162_14	crp_b3357_15	cadC_b4133_14	caiF_b0034_13	cbl_b1987_15	ycfQ_b1111_14	cpxR_b3912_14	fruR_b0080_15	csgD_b1040_14	cspA_b3556_14	cueR_b0487_15	cusR_b0571_14	cynR_b0338_15	cysB_b1275_15	cytR_b3934_14	ttdR_b3060_15	dcuR_b4124_14	dicA_b1570_15	dnaA_b3702_14	dpiA_b0620_15	evgA_b2369_15	fnr_b1334_14	fadR_b1187_15	feaR_b1384_15	fhlA_b2731_15	fis_b3261_15	fliZ_b1921_15	fur_b0683_14	gadE_b3512_15	gadX_b3516_15	galR_b2837_15	galS_b2151_14	glpR_b3423_14	yfhA_b2554_14	gntR_b3438_15	hns_b1237_14	hupA_b4000_15	hupB_b0440_15	hdfR_b4480_25	hipB_b1508_14	yjiE_b4327_14	ihfA_b1712_15	ihfB_b0912_15	iclR_b4018_15	iscR_b2531_14	kdpE_b0694_15	leuO_b0076_15	lexA_b4043_15	lrhA_b2289_15	lrp_b0889_15	lsrR_b1512_14	marA_b1531_14	matA_b0294_15	mcbR_b1450_15	melR_b4118_14	metJ_b3938_15	metR_b3828_14	dgsA_b1594_14	mlrA_b2127_15	mngR_b0730_15	modE_b0761_14	mprA_b2684_15	ygiT_b3021_15	yfeT_b2427_14	nac_b1988_14	nagC_b0676_14	nanR_b3226_15	narL_b1221_14	narP_b2193_15	nhaR_b0020_15	nikR_b3481_15	nrdR_b0413_15	glnG_b3868_15	ompR_b3405_14	oxyR_b3961_15	paaX_b1399_14	pdhR_b0113_15	pepA_b4260_15	ycjZ_b1328_15	phoB_b0399_15	phoP_b1130_14	pspF_b1303_15	purR_b1658_15	putA_b1014_14	puuR_b1299_15	qseB_b3025_14	ybjK_b0846_15	ykgD_b0305_15	rcnR_b2105_15	rcsB_b2217_15	relB_b1564_14	rhaS_b3905_15	rob_b4396_14	rstA_b1608_15	rutR_b1013_15	sdiA_b1916_14	sgrR_b0069_14	slyA_b1642_14	soxR_b4063_15	soxS_b4062_15	stpA_b2669_15	ydcN_b1434_15	torR_b0995_14	treR_b4241_15	trpR_b4393_15	tyrR_b1323_15	ulaR_b4191_14	uxuR_b4324_15	xylR_b3569_15	ydeO_b1499_15	yefM_b2017_15	yehT_b2125_15	ypdB_b2381_15	yqhC_b3010_14	yqjI_b3071_15	zntR_b3292_15	zraR_b4004_15	zur_b4046_15	fecI_b4293_14	rpoE_b2573_14	fliA_b1922_15	rpoH_b3461_14	rpoS_b2741_14	rpoN_b3202_15	rpoD_b3067_15	ryhB_b4451_4	spf_b3864_15	gcvB_b4443_12	micA_b4442_6	omrA_b4444_3	cyaR_b4438_7	rybB_b4417_8	FnrS
aaaD_b4634_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaeA_b3241_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaeB_b3240_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaeR_b3243_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaeX_b3242_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aas_b2836_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aat_b0885_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abgA_b1338_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abgB_b1337_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abgR_b1339_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
